company_name,date,edu_req,hiring,job_name,viewed,wages,work_exp,work_place
黔南日报社, 2021-12-28,大专,若干,后端开发工程师（Java）,本职位累积查看：231 次,4000--8000  月薪,不限,贵州-黔南布依族苗族自治州-都匀市
贵州剑立消防工程有限责任公司贵阳分公司, 2021-12-28,不限,2,施工助理,本职位累积查看：662 次,4000--6500  月薪,2-3 年,贵州-贵阳市
黔南日报社, 2021-12-28,不限,2,短视频编剧,本职位累积查看：3153 次,3000--5000  月薪,不限,贵州-黔南布依族苗族自治州-都匀市
贵州省经济物资协作总公司, 2021-12-28,本科,5,高级顾问,本职位累积查看：7 次,80000--300000  年薪,30年以上,贵州-贵阳市-南明区
贵州省经济物资协作总公司, 2021-12-28,大专,3,文秘,本职位累积查看：9 次,3500--5000  月薪,2年以上,贵州-贵阳市-南明区
贵州剑立消防工程有限责任公司贵阳分公司, 2021-12-28,大专,3,绘图员,本职位累积查看：11089 次,3000--6000  月薪,1-5 年,贵州-贵阳市-南明区
贵州省经济物资协作总公司, 2021-12-28,大专,2,策划设计师,本职位累积查看：8 次,50000--80000  年薪,3年以上,贵州-贵阳市-南明区
贵州省经济物资协作总公司, 2021-12-28,不限,若干,大区经理,本职位累积查看：6 次,50000--250000  年薪,2年以上,贵州-贵阳市-南明区
贵州省经济物资协作总公司, 2021-12-28,不限,1,会计,本职位累积查看：23 次,4000--6000  月薪,3年以上,贵州-贵阳市-南明区
贵州省经济物资协作总公司, 2021-12-28,大专,1,副总经理,本职位累积查看：6 次,80000--300000  年薪,3年以上,贵州-贵阳市-南明区
交通银行股份有限公司太平洋信用卡中心贵阳分中心, 2021-12-28,大专,10,交通银行卡中心收件专员,本职位累积查看：391 次,5000--12000  月薪,不限,贵州-贵阳市-云岩区
贵州省经济物资协作总公司, 2021-12-28,本科,1,集采经理,本职位累积查看：4 次,50000--150000  年薪,2年以上,贵州-贵阳市-南明区
贵州省经济物资协作总公司, 2021-12-28,大专,2,销售总监,本职位累积查看：7 次,70000--250000  年薪,2年以上,贵州-贵阳市-南明区
四川亚航船舶管理有限公司, 2021-12-28,初中,若干,《商船》值班水手,本职位累积查看：70 次,9800--20000  月薪,不限,四川-德阳市-旌阳区
中鼎资信评级服务有限公司, 2021-12-28,本科,2,Javascript程序员,本职位累积查看：17683 次,100000--300000  年薪,2-5 年,贵州-贵阳市-云岩区
广州鹏凯环境科技股份有限公司, 2021-12-28,硕士,1,总工程师,本职位累积查看：6797 次,150000--300000  年薪,5-15 年,贵州-贵阳市
贵州南方卓越投资运营管理（集团）有限公司, 2021-12-28,本科,2,景区规划师,本职位累积查看：881 次,5000--10000  月薪,不限,贵州-贵阳市-观山湖区
天尚设计集团有限公司, 2021-12-28,本科,1,桥梁设计师,本职位累积查看：21701 次,面议,不限,贵州-贵阳市-南明区
中牌工程项目管理有限公司, 2021-12-28,大专,1,岩土监测师（中级职称）,本职位累积查看：494 次,200000--300000  年薪,10年,贵州-贵阳市-云岩区
贵州纵横力创科技有限公司, 2021-12-28,不限,若干,注册城乡规划师,本职位累积查看：1102 次,80000--200000  年薪,不限,贵州-贵阳市-观山湖区
贵州医科大学附属白云医院, 2021-12-28,本科,若干,儿科医师,本职位累积查看：1366 次,5000--10000  月薪,不限,贵州-贵阳市-白云区
贵州鑫新实业控股集团有限责任公司, 2021-12-28,高中,若干,黄磷生产操作工,本职位累积查看：339 次,4000--5000  月薪,1-3 年,贵州-贵阳市-开阳县
贵州菁瑞健身管理有限公司, 2021-12-28,初中,若干,高薪+身材+工作自由选择健身教练,本职位累积查看：502 次,8000--16000  月薪,不限,贵州-黔东南苗族侗族自治州-凯里市
百胜餐饮（成都）有限公司贵州分公司, 2021-12-28,大专,若干,肯德基餐厅储备经理/管培生/储备干部-威宁,本职位累积查看：1169 次,3600--4000  月薪,不限,贵州-毕节地区-威宁彝族回族苗族自治县
贵阳胜美机械有限公司, 2021-12-28,不限,若干,加工中心调机师傅,本职位累积查看：2235 次,6000--10000  月薪,3年以上,贵州-贵阳市-乌当区
贵州顺成劳务管理有限公司, 2021-12-28,高中,100,装配工,本职位累积查看：633 次,3000--5000  月薪,不限,贵州-贵阳市-南明区
交通银行股份有限公司太平洋信用卡中心贵阳分中心, 2021-12-28,大专,10,交通银行信用卡BD大客户经理,本职位累积查看：130 次,6000--12000  月薪,不限,贵州-贵阳市
贵州剑立消防工程有限责任公司贵阳分公司, 2021-12-28,不限,2,行政文员,本职位累积查看：12169 次,3000--8000  月薪,1-5 年,贵州-贵阳市-南明区
贵州明德工程咨询有限公司, 2021-12-28,不限,1,设备管理员,本职位累积查看：1403 次,2500--3000  月薪,不限,贵州-贵阳市-白云区
贵州鑫新实业控股集团有限责任公司, 2021-12-28,本科,1,安环主办,本职位累积查看：320 次,9000--11000  月薪,1-3 年,贵州-贵阳市-开阳县
贵州初好农业科技开发有限公司, 2021-12-28,不限,1,电商内勤库管,本职位累积查看：406 次,面议,1年以上,贵州-六盘水市-水城县
贵阳市大数据产业集团有限公司, 2021-12-28,本科,2,售前技术支持（子公司，块数据公司）,本职位累积查看：8 次,8000--12000  月薪,3年以上,贵州-贵阳市-观山湖区
中国人寿贵阳都司支公司, 2021-12-28,大专,若干,人事专员,本职位累积查看：616 次,3000--5000  月薪,不限,贵州-贵阳市-南明区
贵州中伟投资集团有限公司, 2021-12-28,大专,5,施工员（印尼项目）,本职位累积查看：4 次,6000--8000  月薪,5-8 年,国外
贵州中典置业有限责任公司, 2021-12-28,本科,1,报建专员,本职位累积查看：5470 次,8000以上  月薪,4年以上,贵州-贵阳市
贵州天诚卓越建筑工程有限公司, 2021-12-28,不限,若干,二级建造师兼职,本职位累积查看：1052 次,5000--30000  月薪,不限,贵州-贵阳市-南明区
阳光财产保险股份有限公司贵阳中心支公司, 2021-12-28,不限,若干,话务专员（法定假日双休）,本职位累积查看：1210 次,4000--8000  月薪,不限,贵州-黔西南布依族苗族自治州-兴义市
贵州天安科技有限公司, 2021-12-28,本科,3,环境影响评价师,本职位累积查看：3760 次,3500--8500  月薪,2年以上,贵州-贵阳市-观山湖区
上海二十冶建设有限公司贵州分公司, 2021-12-28,本科,1,质量员,本职位累积查看：2444 次,60000--120000  年薪,3年以上,贵州-贵阳市-观山湖区
国中城投第七工程有限公司, 2021-12-28,大专,1,办公室主任,本职位累积查看：836 次,50000--80000  年薪,5年以上,贵州-贵阳市-花溪区
贵州建工集团第一建筑工程有限责任公司, 2021-12-28,大专,2,项目安全员,本职位累积查看：32185 次,5000--12000  月薪,5-20 年,贵州-贵阳市
中国联合网络通信有限公司六盘水市分公司, 2021-12-28,本科,2,解决方案经理,本职位累积查看：114 次,9000--15000  月薪,2年以上,贵州-六盘水市
阳光财产保险股份有限公司贵阳中心支公司, 2021-12-28,不限,若干,车险续期客户经理,本职位累积查看：1553 次,4000--8000  月薪,不限,贵州-贵阳市
贵州西洋实业有限公司, 2021-12-28,中专,4,班长（储备）,本职位累积查看：381 次,5000--7000  月薪,3年以上,贵州-贵阳市-息烽县
贵州民投集团, 2021-12-28,不限,1,财务总监,本职位累积查看：457 次,10000--20000  月薪,不限,贵州-贵阳市-清镇市
